N,P,K,Temparature,Humidity,Crop,Moisture,Soil Type,Fertilizer Name
37,0,0,26,52,Maize,38,Sandy,Urea
12,36,0,29,52,Sugarcane,45,Loamy,DAP
7,30,9,34,65,Cotton,62,Black,14-35-14
22,20,0,32,62,Tobacco,34,Red,28-28
35,0,0,28,54,Paddy,46,Clayey,Urea
12,13,10,26,52,Barley,35,Sandy,17-17-17
9,10,0,25,50,Cotton,64,Red,20-20
41,0,0,33,64,Wheat,50,Loamy,Urea
21,18,0,30,60,Millets,42,Sandy,28-28
9,30,7,29,58,Oil seeds,33,Black,14-35-14
13,40,0,27,54,Pulses,28,Clayey,DAP
14,12,15,31,62,Maize,48,Sandy,17-17-17
36,0,0,25,50,Cotton,65,Loamy,Urea
24,22,0,32,62,Paddy,41,Clayey,28-28
14,41,0,26,52,Ground Nuts,31,Red,DAP
10,14,13,31,62,Sugarcane,49,Black,17-17-17
38,0,0,33,64,Pulses,34,Clayey,Urea
21,19,0,25,50,Barley,39,Sandy,28-28
39,0,0,28,54,Cotton,65,Black,Urea
13,36,0,29,58,Wheat,52,Loamy,DAP
10,9,0,30,60,Millets,44,Sandy,20-20
12,12,14,34,65,Sugarcane,53,Loamy,17-17-17
11,37,0,35,68,Tobacco,33,Red,DAP
36,0,0,28,54,Millets,37,Black,Urea
13,10,0,33,64,Paddy,39,Clayey,20-20
23,20,0,26,52,Maize,44,Sandy,28-28
9,29,9,30,60,Cotton,63,Red,14-35-14
38,0,0,32,62,Sugarcane,30,Loamy,Urea
12,39,0,37,70,Oil seeds,32,Black,DAP
14,13,0,26,52,Pulses,36,Clayey,20-20
24,23,0,29,58,Ground Nuts,40,Red,28-28
12,40,0,30,60,Sugarcane,27,Loamy,DAP
39,0,0,34,65,Paddy,38,Clayey,Urea
7,30,9,36,68,Barley,38,Sandy,14-35-14
23,19,0,26,52,Wheat,48,Loamy,28-28
41,0,0,28,54,Millets,35,Black,Urea
8,31,10,30,60,Cotton,61,Loamy,14-35-14
12,41,0,37,70,Paddy,37,Clayey,DAP
15,11,14,25,50,Ground Nuts,26,Red,17-17-17
15,37,0,29,58,Millets,34,Sandy,DAP
13,13,0,27,54,Pulses,30,Clayey,20-20
10,32,7,30,60,Sugarcane,58,Loamy,14-35-14
22,24,0,32,62,Tobacco,34,Red,28-28
35,0,0,34,65,Sugarcane,60,Black,Urea
10,35,0,35,67,Barley,42,Sandy,DAP
8,28,8,38,70,Wheat,48,Loamy,14-35-14
12,8,0,26,52,Oil seeds,32,Black,20-20
24,18,0,29,58,Paddy,43,Clayey,28-28
41,0,0,30,60,Ground Nuts,29,Red,Urea
5,29,9,33,64,Maize,51,Sandy,14-35-14
23,21,0,34,65,Tobacco,31,Red,28-28
13,14,0,36,68,Oil seeds,33,Black,20-20
40,0,0,28,54,Pulses,38,Clayey,Urea
12,42,0,30,60,Barley,47,Sandy,DAP
11,15,12,31,62,Cotton,63,Red,17-17-17
23,24,0,27,53,Millets,43,Black,28-28
38,0,0,34,65,Wheat,54,Loamy,Urea
8,15,0,29,58,Millets,37,Sandy,20-20
11,15,13,25,50,Sugarcane,56,Loamy,17-17-17
15,37,0,32,62,Ground Nuts,34,Red,DAP
36,0,0,28,54,Paddy,41,Clayey,Urea
13,9,0,30,60,Wheat,49,Loamy,20-20
24,20,0,34,65,Cotton,64,Black,28-28
5,15,18,28,54,Barley,47,Sandy,10-26-26
37,0,0,27,53,Oil seeds,35,Black,Urea
15,40,0,36,68,Cotton,62,Red,DAP
9,13,0,34,65,Sugarcane,57,Black,20-20
8,33,8,29,58,Sugarcane,55,Loamy,14-35-14
6,16,19,25,50,Pulses,40,Clayey,10-26-26
10,14,0,30,60,Millets,38,Sandy,20-20
21,23,0,26,52,Pulses,39,Clayey,28-28
39,0,0,31,62,Tobacco,32,Red,Urea
23,19,0,34,65,Wheat,48,Loamy,28-28
42,0,0,27,53,Oil seeds,34,Black,Urea
13,39,0,33,64,Ground Nuts,31,Red,DAP
9,22,10,29,58,Paddy,42,Clayey,14-35-14
22,21,0,30,60,Maize,47,Sandy,28-28
10,15,0,27,53,Sugarcane,59,Loamy,20-20
7,20,16,26,52,Pulses,36,Clayey,10-26-26
14,38,0,34,65,Cotton,63,Red,DAP
10,29,8,28,54,Paddy,43,Clayey,14-35-14
41,0,0,30,60,Millets,40,Sandy,Urea
14,35,0,29,58,Cotton,65,Black,DAP
11,9,0,26,52,Sugarcane,59,Loamy,20-20
21,28,0,31,62,Barley,44,Sandy,28-28
8,31,7,35,67,Pulses,28,Clayey,14-35-14
13,16,17,29,58,Tobacco,30,Red,10-26-26
35,0,0,27,53,Millets,30,Black,Urea
12,19,18,36,68,Wheat,50,Loamy,10-26-26
11,38,0,29,58,Cotton,61,Loamy,DAP
8,30,9,30,60,Oil seeds,26,Black,14-35-14
6,21,19,34,65,Paddy,45,Clayey,10-26-26
41,0,0,36,68,Ground Nuts,41,Red,Urea
9,30,10,28,54,Maize,25,Sandy,14-35-14
24,19,0,25,50,Pulses,32,Clayey,28-28
4,17,17,30,60,Tobacco,27,Red,10-26-26
39,0,0,38,72,Wheat,51,Loamy,Urea
15,41,0,36,60,Millets,43,Sandy,DAP
12,10,0,29,58,Sugarcane,57,Black,20-20
20,15,2,27.58,59.21,Cotton,31.27,Loamy,DAP
9,14,12,27.45,66.38,Millets,50.14,Black,28-28
28,22,0,27.25,63.62,Wheat,40.35,Black,Urea
8,28,9,28.84,58.91,Millets,33.06,Clayey,17-17-17
40,0,2,25.86,48.46,Ground Nuts,46.25,Red,28-28
11,11,0,25.59,63.6,Cotton,46.33,Clayey,28-28
6,14,4,29.17,68.19,Oil seeds,30.65,Sandy,Urea
9,11,14,36.05,73.59,Millets,58.17,Red,17-17-17
5,30,8,26.76,64.22,Ground Nuts,53.63,Sandy,28-28
41,3,0,27.66,53.58,Cotton,40.96,Red,20-20
40,0,0,28.27,52.88,Wheat,43.3,Black,10-26-26
8,16,1,38.39,69.51,Oil seeds,65.09,Clayey,Urea
15,35,0,28.74,56.8,Cotton,54.07,Loamy,DAP
19,28,4,30.63,63.88,Paddy,38.71,Loamy,DAP
11,12,5,26.02,52.46,Barley,31.12,Loamy,10-26-26
9,21,22,34.71,64.94,Oil seeds,52.62,Sandy,14-35-14
11,8,0,23.71,51.25,Oil seeds,30.5,Black,17-17-17
37,4,2,30.63,61.45,Maize,23.18,Black,17-17-17
12,13,13,23.63,52.62,Sugarcane,31.03,Clayey,14-35-14
16,32,3,27.65,58.09,Oil seeds,69.07,Clayey,10-26-26
12,36,0,31.19,60.94,Paddy,30.51,Black,Urea
45,0,2,37.12,72.87,Tobacco,47.06,Sandy,Urea
7,16,15,33.52,60.46,Pulses,47.85,Black,DAP
10,31,3,29.44,59.34,Sugarcane,55.51,Loamy,17-17-17
8,28,13,33.24,69.48,Cotton,65.48,Clayey,10-26-26
2,19,20,20.85,53.18,Tobacco,43.77,Loamy,Urea
11,36,1,38.42,73.97,Sugarcane,50.41,Loamy,DAP
34,3,0,29.04,71.09,Maize,21.12,Sandy,14-35-14
39,0,0,23.59,55.82,Sugarcane,62.92,Red,Urea
11,32,0,38.56,73.46,Pulses,30.62,Black,28-28
15,8,0,30.87,63.94,Cotton,46.2,Sandy,Urea
38,0,4,25.83,51.1,Maize,59.57,Sandy,Urea
14,35,0,34.51,63.92,Sugarcane,70,Loamy,17-17-17
18,25,0,31.92,62.59,Pulses,27.78,Sandy,DAP
13,11,16,28.43,58.72,Sugarcane,43.9,Sandy,20-20
4,14,0,27.53,55.04,Pulses,57.07,Sandy,28-28
8,18,9,24.53,67.4,Paddy,48.49,Red,20-20
15,33,4,30.82,51.91,Wheat,54.23,Red,14-35-14
9,16,15,32.53,59.45,Cotton,20.16,Loamy,17-17-17
12,33,8,28.17,58.69,Cotton,34.11,Sandy,20-20
35,0,0,29.25,54.52,Paddy,41.4,Clayey,28-28
6,17,16,22.26,51.36,Tobacco,48.36,Loamy,Urea
41,4,3,30.76,66.64,Ground Nuts,56.32,Red,28-28
7,20,11,27.84,66.53,Sugarcane,36.89,Loamy,Urea
7,31,11,29.21,64.21,Wheat,54.95,Red,14-35-14
11,15,13,26.01,59.52,Pulses,35.75,Loamy,28-28
23,23,0,29.5,55.42,Cotton,51.17,Red,10-26-26
40,0,0,32.98,62.02,Wheat,33.12,Red,10-26-26
38,1,0,24.24,59.04,Barley,50.07,Loamy,Urea
21,20,3,33.54,59.28,Wheat,52.09,Clayey,20-20
35,0,4,34.43,72.28,Ground Nuts,62.22,Clayey,17-17-17
15,33,0,32.19,68.94,Barley,67.37,Sandy,20-20
5,32,7,32.55,71.46,Oil seeds,67.14,Clayey,20-20
13,38,0,28.38,52.02,Wheat,43.83,Loamy,10-26-26
36,0,0,25.4,43.57,Maize,38.51,Red,28-28
12,15,15,33.8,52.28,Millets,53.31,Clayey,28-28
20,20,0,28.38,47.58,Paddy,34.86,Black,28-28
23,16,2,28.37,59.8,Oil seeds,35.35,Black,17-17-17
1,22,14,30.08,73.84,Sugarcane,41.22,Sandy,10-26-26
31,0,1,34.95,64.93,Wheat,62.63,Clayey,14-35-14
20,21,0,35.56,74.88,Cotton,52.16,Clayey,14-35-14
7,7,1,24.05,52.76,Oil seeds,58.9,Sandy,DAP
11,14,3,23.42,53.65,Barley,69.68,Sandy,20-20
17,31,0,31.68,62.14,Sugarcane,42.55,Black,17-17-17
19,19,0,31.03,69,Maize,49.46,Loamy,20-20
5,32,8,31.78,44.27,Maize,45.07,Loamy,DAP
39,2,0,22.3,60.64,Ground Nuts,40.78,Sandy,28-28
8,43,1,26.39,52.62,Cotton,22.27,Sandy,17-17-17
13,39,4,29.36,64.39,Tobacco,20,Red,10-26-26
13,8,0,26.67,47.94,Sugarcane,34.08,Black,DAP
12,30,6,26.75,56.87,Barley,20,Clayey,17-17-17
24,17,0,30.64,65.77,Sugarcane,32.86,Clayey,17-17-17
26,21,0,29.89,48.59,Pulses,38,Clayey,28-28
8,18,13,28.61,62.22,Ground Nuts,41.53,Loamy,Urea
39,0,2,37.09,63.72,Sugarcane,47.99,Red,17-17-17
37,0,3,21.78,55.6,Maize,33.66,Loamy,10-26-26
2,25,5,30.42,70.37,Wheat,55.92,Red,17-17-17
10,12,17,35.39,52.28,Pulses,42.97,Sandy,10-26-26
3,15,15,30.53,52.17,Oil seeds,41.92,Black,Urea
